STAR:010,5,TESD1L,RW21,TESDI,ES,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   ,ESOK,ES,P,A, , , , ;
STAR:020,5,TESD1L,RW21,OK526,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,TESD1L,RW21,OK525,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,TESD1L,RW21,NATVI,ES,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     ,-,210,    ,   , , , , , , , , ;
STAR:010,2,TESD5E,RW03,TESDI,ES,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,KSD,ES,D, , , , , ;
STAR:020,2,TESD5E,RW03,D054P,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,TESD5E,RW03,D054M,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,2,TESD5E,RW03, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2340,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,2,TESD5E,RW03,D187K,ES,P,C,EY  ,R,   ,AF, ,KSD,ES,D, ,      ,1870,0110,0540,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,2,TESD5E,RW03,CF03,ES,P,C,EE  , ,   ,CF, ,KSD,ES,D, ,      ,2000,0091,0210,0020,+,02500,     ,     ,-,210,    ,   , , , , , , , , ;
STAR:010,2,TESD5F,RW21,TESDI,ES,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,KSD,ES,D, , , , , ;
STAR:020,2,TESD5F,RW21,D054P,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,TESD5F,RW21,D054M,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,2,TESD5F,RW21, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2340,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,2,TESD5F,RW21,D032K,ES,P,C,EY  ,L,   ,AF, ,KSD,ES,D, ,      ,0320,0110,0540,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,2,TESD5F,RW21,CF21,ES,P,C,EE  , ,   ,CF, ,KSD,ES,D, ,      ,0213,0095,2010,0020,+,02500,     ,     ,-,210,    ,   , , , , , , , , ;
APPCH:020,D,D03, ,FD03,ES,P,C,E  F, ,   ,IF, ,KSD,ES,D, ,      ,1980,0071,    ,    ,+,02500,     ,     , ,   ,    ,   ,KSD,ES,D, , ,0, ,S;
